instnm,city,stabbr,preddeg,region,locale,adm_rate,actcmmid,ugds,costt4_a,costt4_p,tuitionfee_in,tuitionfee_out,debt_mdn,grad_debt_mdn,female
Walden University,Minneapolis,MN,Bachelor Degree,Plains,City: Large,NA,NA,6538,NA,NA,12465,12465,12000,24028,0.812806461
Allen College,Waterloo,IA,Bachelor Degree,Plains,City: Small,NA,NA,329,NA,NA,18226,18226,15000,15000,0.884615385
Briar Cliff University,Sioux City,IA,Bachelor Degree,Plains,City: Small,NA,NA,928,40794,NA,29786,29786,14750,22500,0.570754717
Buena Vista University,Storm Lake,IA,Bachelor Degree,Plains,Town: Remote,0.6385,22,1692,44645,NA,32854,32854,17301,24748,0.689291101
Capri College-Dubuque,Dubuque,IA,Certificate Degree,Plains,City: Small,NA,NA,167,NA,15434,NA,NA,7600,7847,0.953667954
Capri College-Cedar Rapids,Cedar Rapids,IA,Certificate Degree,Plains,City: Midsize,NA,NA,145,NA,15970,NA,NA,7426,7787,0.930693069
Central College,Pella,IA,Bachelor Degree,Plains,Town: Distant,0.7009,24,1198,49214,NA,35930,35930,23250,27000,0.489619377
Clarke University,Dubuque,IA,Bachelor Degree,Plains,City: Small,0.6319,23,757,44363,NA,31950,31950,19664.5,26167,0.608695652
Coe College,Cedar Rapids,IA,Bachelor Degree,Plains,City: Midsize,0.5624,25,1350,53261,NA,42430,42430,24621,28500,0.574780059
Cornell College,Mount Vernon,IA,Bachelor Degree,Plains,Town: Fringe,0.6503,26,1004,53877,NA,40880,40880,25000,27000,0.46741573
Iowa School of Beauty-Marshalltown,Marshalltown,IA,Certificate Degree,Plains,Town: Distant,NA,NA,6,NA,19254,NA,NA,11943,NA,NA
Des Moines Area Community College,Ankeny,IA,Associate Degree,Plains,Suburb: Large,NA,NA,12521,13763,NA,4530,9060,5500,9834,0.547203034
Divine Word College,Epworth,IA,Bachelor Degree,Plains,Rural: Distant,1,NA,65,19199,NA,12850,12850,NA,NA,NA
Dordt College,Sioux Center,IA,Bachelor Degree,Plains,Town: Remote,0.7207,25,1353,42378,NA,30000,30000,18989.5,23250,0.482078853
Drake University,Des Moines,IA,Bachelor Degree,Plains,City: Midsize,0.688,27,3038,49402,NA,39062,39062,22500,26441.5,0.609756098
University of Dubuque,Dubuque,IA,Bachelor Degree,Plains,City: Small,0.7416,19,1955,39389,NA,29710,29710,16671.5,24347,0.42459605
Ellsworth Community College,Iowa Falls,IA,Associate Degree,Plains,Town: Distant,NA,NA,691,15794,NA,4656,5592,6500,10250,0.409733124
Emmaus Bible College,Dubuque,IA,Certificate Degree,Plains,City: Small,0.5751,23,254,25982,NA,17520,17520,11280,14000,0.559322034
Eastern Iowa Community College District,Davenport,IA,Associate Degree,Plains,City: Midsize,NA,NA,3185,13271,NA,4960,7104,5500,10500,0.626948052
Faith Baptist Bible College and Theological Seminary,Ankeny,IA,Bachelor Degree,Plains,Suburb: Large,0.6,23,256,28104,NA,16766,16766,8750,12828.5,0.571428571
Faust Institute of Cosmetology-Storm Lake,Storm Lake,IA,Certificate Degree,Plains,Rural: Fringe,NA,NA,25,NA,11907,NA,NA,12000,NA,NA
Graceland University-Lamoni,Lamoni,IA,Bachelor Degree,Plains,Rural: Remote,0.5614,21,1208,39770,NA,28110,28110,17201,22832,0.547762999
Grand View University,Des Moines,IA,Bachelor Degree,Plains,City: Midsize,0.9268,21,1753,35403,NA,26516,26516,18000,23500,0.545623836
Grinnell College,Grinnell,IA,Bachelor Degree,Plains,Town: Remote,0.2887,32,1660,63838,NA,50714,50714,13500,15600,0.534883721
Purdue University Global-Mason City,Mason City,IA,Associate Degree,Plains,Town: Remote,NA,NA,133,NA,NA,15352,15352,12638,28018.5,0.796749238
Purdue University Global-Cedar Rapids,Cedar Rapids,IA,Associate Degree,Plains,City: Midsize,NA,NA,417,23836,NA,15352,15352,12638,28018.5,0.796749238
Hamilton Technical College,Davenport,IA,Associate Degree,Plains,City: Midsize,NA,NA,134,23251,NA,14250,14250,9500,9500,0.603015075
Hawkeye Community College,Waterloo,IA,Associate Degree,Plains,City: Small,NA,NA,3499,15011,NA,5042,5752,7550,11441,0.534383404
American Hair Academy,Mt. Pleasant,IA,Certificate Degree,Plains,Town: Remote,NA,NA,24,NA,12879,NA,NA,11149,12411.5,NA
Indian Hills Community College,Ottumwa,IA,Associate Degree,Plains,Town: Remote,NA,NA,2143,12568,NA,4080,5760,7125,12000,0.509047619
Iowa Central Community College,Fort Dodge,IA,Associate Degree,Plains,Town: Remote,NA,NA,3523,13602,NA,5340,7665,7326.5,11000,0.467469189
Iowa Lakes Community College,Estherville,IA,Associate Degree,Plains,Town: Remote,NA,NA,1134,14925,NA,6236,6588,6500,11239,0.492600423
UnityPoint Health-Des Moines School of Radiologic Technology,Des Moines,IA,Certificate Degree,Plains,City: Midsize,NA,NA,18,NA,NA,NA,NA,NA,NA,NA
American College of Hairstyling-Des Moines,Des Moines,IA,Certificate Degree,Plains,City: Midsize,NA,NA,26,NA,17508,NA,NA,10000,NA,NA
Iowa School of Beauty-Des Moines,Des Moines,IA,Certificate Degree,Plains,Suburb: Large,NA,NA,45,NA,16112,NA,NA,6677.5,6861,0.929577465
Iowa State University,Ames,IA,Bachelor Degree,Plains,City: Small,0.8934,25,30116,19878,NA,8636,22472,18749,23256,0.462423697
Iowa Wesleyan University,Mount Pleasant,IA,Bachelor Degree,Plains,Town: Remote,0.5001,20,602,37905,NA,24600,30500,12000,25000,0.460916442
