instnm,city,stabbr,preddeg,region,locale,adm_rate,actcmmid,ugds,costt4_a,costt4_p,tuitionfee_in,tuitionfee_out,debt_mdn,grad_debt_mdn,female
Alabama A & M University,Normal,AL,Bachelor Degree,Southeast,City: Midsize,0.9027,18,4824,22886,NA,9857,18236,13246,32750,0.564030132
University of Alabama at Birmingham,Birmingham,AL,Bachelor Degree,Southeast,City: Midsize,0.9181,25,12866,24129,NA,8328,19032,14979.5,21833,0.63909074
Amridge University,Montgomery,AL,Bachelor Degree,Southeast,City: Midsize,NA,NA,322,15080,NA,6900,6900,10430,22890,0.648648649
University of Alabama in Huntsville,Huntsville,AL,Bachelor Degree,Southeast,City: Midsize,0.8123,28,6917,22108,NA,10280,21480,13522,22647,0.476349937
Alabama State University,Montgomery,AL,Bachelor Degree,Southeast,City: Midsize,0.9787,18,4189,19413,NA,11068,19396,15738,31500,0.61341853
The University of Alabama,Tuscaloosa,AL,Bachelor Degree,Southeast,City: Midsize,0.533,28,32387,28836,NA,10780,28100,17340,23290,0.615252417
Central Alabama Community College,Alexander City,AL,Associate Degree,Southeast,Town: Distant,NA,NA,1404,10045,NA,4440,8010,5764,9500,0.603738318
Athens State University,Athens,AL,Bachelor Degree,Southeast,Town: Fringe,NA,NA,2801,NA,NA,NA,NA,13461,18000,0.705078125
Auburn University at Montgomery,Montgomery,AL,Bachelor Degree,Southeast,City: Midsize,0.8254,22,4211,19892,NA,8020,17140,10750,23363,0.69294809
Auburn University,Auburn,AL,Bachelor Degree,Southeast,City: Small,0.8393,27,23391,30458,NA,10968,29640,17000,21500,0.531504671
Birmingham Southern College,Birmingham,AL,Bachelor Degree,Southeast,City: Midsize,0.6186,26,1283,50400,NA,35804,35804,19500,26045,0.520361991
Chattahoochee Valley Community College,Phenix City,AL,Associate Degree,Southeast,Rural: Fringe,NA,NA,1370,6854,NA,4314,7884,6500,10500,0.611965812
Concordia College Alabama,Selma,AL,Associate Degree,Southeast,Town: Distant,NA,NA,389,27620,NA,10320,10320,9500,35000,0.329177057
South University-Montgomery,Montgomery,AL,Bachelor Degree,Southeast,City: Midsize,NA,NA,369,26613,NA,17014,17014,10919,25000,0.762866865
Enterprise State Community College,Enterprise,AL,Associate Degree,Southeast,Town: Distant,NA,NA,1365,9289,NA,4440,8010,5000,6676,0.516587678
Coastal Alabama Community College,Bay Minette,AL,Associate Degree,Southeast,Town: Distant,NA,NA,4101,12558,NA,4380,7890,5500,11000,0.653179191
Faulkner University,Montgomery,AL,Bachelor Degree,Southeast,City: Midsize,0.5101,20,2272,31720,NA,20970,20970,14450,22850,0.638731597
Gadsden State Community College,Gadsden,AL,Certificate Degree,Southeast,City: Small,NA,NA,4349,9701,NA,3600,6456,NA,NA,0.618060696
New Beginning College of Cosmetology,Albertville,AL,Certificate Degree,Southeast,Town: Distant,NA,NA,83,NA,13543,NA,NA,5500,5900,NA
George C Wallace Community College-Dothan,Dothan,AL,Associate Degree,Southeast,City: Small,NA,NA,3836,9298,NA,4380,7950,NA,NA,0.667740451
George C Wallace State Community College-Hanceville,Hanceville,AL,Associate Degree,Southeast,Town: Distant,NA,NA,4805,11408,NA,3726,6582,7750,10500,0.63122102
George C Wallace State Community College-Selma,Selma,AL,Associate Degree,Southeast,Town: Distant,NA,NA,1217,14571,NA,4140,7710,NA,NA,0.599134199
Herzing University-Birmingham,Birmingham,AL,Certificate Degree,Southeast,Suburb: Large,0.757,NA,537,27797,NA,13850,13850,11766,23139.5,0.813546519
Huntingdon College,Montgomery,AL,Bachelor Degree,Southeast,City: Midsize,0.5598,22,1099,34675,NA,26400,26400,16950,27000,0.470414201
Heritage Christian University,Florence,AL,Bachelor Degree,Southeast,City: Small,1,20,59,NA,NA,11232,11232,10500,NA,NA
J. F. Drake State Community and Technical College,Huntsville,AL,Certificate Degree,Southeast,City: Midsize,NA,NA,685,11514,NA,4410,7980,NA,NA,0.561085973
J F Ingram State Technical College,Deatsville,AL,Certificate Degree,Southeast,Suburb: Large,NA,NA,449,5496,NA,4968,4968,NA,NA,0.229357798
Jacksonville State University,Jacksonville,AL,Bachelor Degree,Southeast,City: Small,0.5402,23,6622,20890,NA,8166,15582,16450,23500,0.588679245
Jefferson Davis Community College,Brewton,AL,Associate Degree,Southeast,Town: Distant,NA,NA,720,11677,NA,4088,7598,NA,NA,0.650623886
Jefferson State Community College,Birmingham,AL,Associate Degree,Southeast,City: Midsize,NA,NA,7052,13017,NA,4500,8070,3793.5,7368,0.660555005
John C Calhoun State Community College,Tanner,AL,Associate Degree,Southeast,Rural: Fringe,NA,NA,8247,9907,NA,4520,8090,5500,10592.5,0.580948019
Judson College,Marion,AL,Bachelor Degree,Southeast,Rural: Remote,0.507,22,315,30306,NA,17896,17896,9500,21744,NA
Lawson State Community College,Birmingham,AL,Certificate Degree,Southeast,City: Midsize,NA,NA,3034,13685,NA,4440,8010,NA,NA,0.568218299
University of West Alabama,Livingston,AL,Bachelor Degree,Southeast,Rural: Remote,0.2821,21,2106,19671,NA,9204,16818,13000,26500,0.557758621
Lurleen B Wallace Community College,Andalusia,AL,Associate Degree,Southeast,Rural: Fringe,NA,NA,1354,13663,NA,4440,8010,NA,NA,0.624417521
Marion Military Institute,Marion,AL,Associate Degree,Southeast,Rural: Remote,0.5587,23,444,18568,NA,9418,15418,5500,11500,0.234042553
Miles College,Fairfield,AL,Bachelor Degree,Southeast,Suburb: Large,NA,NA,1647,22346,NA,11794,11794,11858,33754.5,0.46680791
University of Mobile,Mobile,AL,Bachelor Degree,Southeast,Rural: Fringe,0.4702,23,1276,35256,NA,22210,22210,16750,26579.5,0.673280423
University of Montevallo,Montevallo,AL,Bachelor Degree,Southeast,Suburb: Large,0.6445,23,2329,23938,NA,12400,25030,17028,24264,0.682758621
Northwest-Shoals Community College,Muscle Shoals,AL,Associate Degree,Southeast,City: Small,NA,NA,2698,11386,NA,4411,7921,5809.5,13000,0.618031992
University of North Alabama,Florence,AL,Bachelor Degree,Southeast,City: Small,0.7022,22,5771,18223,NA,8480,15128,12750,22309,0.601393189
Northeast Alabama Community College,Rainsville,AL,Certificate Degree,Southeast,Rural: Distant,NA,NA,1983,8350,NA,4440,8010,3350,4000,0.602629657
