age,workclass,education,marital_status,occupation,race,sex,hours_per_week,native_country,greater_than_50k,greater_than_50k_num
23,Private,Bachelors,Never-married,Prof-specialty,White,Female,40,United-States,<=50K,0
32,Private,HS-grad,Never-married,Craft-repair,White,Male,40,United-States,<=50K,0
38,Private,Assoc,Married,Prof-specialty,White,Male,42,United-States,<=50K,0
37,Private,Bachelors,Never-married,Sales,White,Female,40,United-States,<=50K,0
58,self-employ,HS-grad,Divorced,Sales,White,Male,50,United-States,<=50K,0
50,Private,less-HS,Married,Machine-op-inspct,White,Male,40,United-States,<=50K,0
29,Private,Bachelors,Never-married,Prof-specialty,White,Female,40,United-States,<=50K,0
26,Private,Some-college,Never-married,Farming-fishing,White,Female,38,United-States,<=50K,0
42,Private,Some-college,Married,Tech-support,White,Male,40,United-States,<=50K,0
48,government,Masters,Divorced,Exec-managerial,Black,Female,40,United-States,>50K,1
46,Private,Prof-school,Married,Prof-specialty,Black,Male,40,United-States,>50K,1
40,Private,Assoc,Divorced,Transport-moving,White,Male,50,United-States,>50K,1
18,Private,HS-grad,Never-married,Other-service,White,Male,35,United-States,<=50K,0
34,Private,HS-grad,Divorced,Adm-clerical,White,Female,40,United-States,<=50K,0
35,Private,Bachelors,Married,Other-service,White,Female,32,United-States,<=50K,0
24,Private,Bachelors,Never-married,Tech-support,White,Male,40,United-States,<=50K,0
28,Private,Some-college,Never-married,Adm-clerical,White,Female,40,United-States,<=50K,0
28,Private,HS-grad,Married,Machine-op-inspct,White,Male,40,United-States,<=50K,0
33,Private,Bachelors,Separated,Exec-managerial,Black,Female,40,United-States,<=50K,0
53,government,Some-college,Married,Protective-serv,White,Male,40,United-States,>50K,1
48,Private,Some-college,Widowed,Sales,White,Male,50,United-States,>50K,1
43,government,HS-grad,Married,Craft-repair,White,Male,40,United-States,<=50K,0
27,Private,HS-grad,Married,Craft-repair,White,Male,60,United-States,<=50K,0
39,Private,HS-grad,Married,Transport-moving,White,Male,40,United-States,>50K,1
18,Private,HS-grad,Never-married,Adm-clerical,White,Male,20,United-States,<=50K,0
67,self-employ,HS-grad,Widowed,Other-service,White,Female,20,United-States,<=50K,0
56,Private,Some-college,Widowed,Exec-managerial,Black,Female,32,United-States,<=50K,0
26,Private,Assoc,Never-married,Tech-support,White,Male,40,United-States,<=50K,0
44,Private,Some-college,Divorced,Adm-clerical,White,Female,38,United-States,<=50K,0
43,government,Bachelors,Never-married,Tech-support,White,Male,50,United-States,<=50K,0
23,Private,Some-college,Never-married,Handlers-cleaners,White,Male,30,United-States,<=50K,0
26,Private,less-HS,Never-married,Craft-repair,White,Male,40,United-States,<=50K,0
22,Private,Bachelors,Never-married,Prof-specialty,White,Male,40,United-States,<=50K,0
18,Private,HS-grad,Never-married,Other-service,White,Female,45,United-States,<=50K,0
62,Private,Prof-school,Married,Craft-repair,White,Male,45,United-States,>50K,1
50,Private,HS-grad,Married,Craft-repair,White,Male,40,United-States,<=50K,0
44,government,HS-grad,Married,Adm-clerical,White,Female,40,United-States,<=50K,0
36,Private,HS-grad,Married,Machine-op-inspct,Black,Male,40,United-States,>50K,1
34,Private,Some-college,Married,Craft-repair,White,Male,40,United-States,<=50K,0
50,government,Some-college,Divorced,Other-service,Black,Female,40,United-States,<=50K,0
28,Private,Some-college,Married,Sales,White,Male,55,United-States,>50K,1
58,Private,Assoc,Divorced,Adm-clerical,White,Male,40,United-States,<=50K,0
26,self-employ,Some-college,Married,Farming-fishing,White,Male,78,United-States,<=50K,0
37,Private,HS-grad,Separated,Exec-managerial,White,Male,40,United-States,<=50K,0
33,Private,Assoc,Never-married,Other-service,Black,Female,40,United-States,<=50K,0
24,Private,Bachelors,Never-married,Adm-clerical,White,Male,30,United-States,<=50K,0
57,Private,less-HS,Married,Other-service,White,Male,40,United-States,<=50K,0
46,government,Some-college,Divorced,Transport-moving,White,Female,40,United-States,<=50K,0
36,Private,HS-grad,Never-married,Transport-moving,White,Male,45,United-States,<=50K,0
63,Private,Bachelors,Married,Sales,White,Male,40,United-States,<=50K,0
44,Private,HS-grad,Married,Adm-clerical,White,Female,40,United-States,>50K,1
22,government,HS-grad,Never-married,Protective-serv,White,Male,56,United-States,<=50K,0
33,Private,HS-grad,Married,Machine-op-inspct,White,Male,84,United-States,>50K,1
20,Private,Some-college,Never-married,Tech-support,White,Female,15,United-States,<=50K,0
30,Private,Prof-school,Never-married,Tech-support,White,Female,24,United-States,<=50K,0
36,Private,Some-college,Separated,Exec-managerial,White,Male,60,United-States,>50K,1
