STATION,DATE,REPORT_TYPE,BackupName,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,DailyWeather,Sunrise,Sunset
72528014733,2018-10-01T23:59:00,SOD  ,WFO BUF,51,52,95,30.26,29.5,51,10.9,0,-4.6,13,54,50,50,24,0.09,0,0,60,20,RA DZ BR,612,1757
72528014733,2018-10-02T23:59:00,SOD  ,WFO BUF,59,60,96,30.01,29.26,60,8.5,0,3.8,5,69,51,320,24,1,0,0,320,21,RA DZ BR,613,1755
72528014733,2018-10-03T23:59:00,SOD  ,WFO BUF,55,62,86,30.05,29.31,57,5.5,0,6.2,3,70,53,210,25,T,0,0,200,20,DZ BR,614,1753
72528014733,2018-10-04T23:59:00,SOD  ,WFO BUF,56,60,77,29.97,29.18,59,12.5,0,4.6,5,74,46,220,39,0.45,0,0,220,32,TS RA BR,615,1751
72528014733,2018-10-05T23:59:00,SOD  ,WFO BUF,43,51,75,30.17,29.41,47,9.6,0,-4,14,58,44,100,21,0,0,0,70,16,,616,1750
72528014733,2018-10-06T23:59:00,SOD  ,WFO BUF,62,63,90,30.03,29.28,63,8.1,0,8.4,2,74,51,250,26,0.73,0,0,200,20,TS RA BR,618,1748
72528014733,2018-10-07T23:59:00,SOD  ,WFO BUF,58,60,97,30.24,29.44,58,9.4,0,5.7,5,67,53,50,21,0.02,0,0,60,16,RA DZ BR,619,1746
72528014733,2018-10-08T23:59:00,SOD  ,WFO BUF,61,68,84,30.23,29.49,63,7.9,3,14.1,0,82,53,70,20,0.01,0,0,70,16,RA,620,1744
72528014733,2018-10-09T23:59:00,SOD  ,WFO BUF,66,77,72,30.13,29.39,69,11.4,12,23.5,0,83,70,210,30,0,0,0,210,23,,621,1743
72528014733,2018-10-10T23:59:00,SOD  ,WFO BUF,64,74,70,29.89,29.18,68,10.6,9,20.9,0,81,67,190,25,T,0,0,190,21,,622,1741
72528014733,2018-10-11T23:59:00,SOD  ,WFO BUF,56,62,77,29.66,28.91,59,15.7,0,9.2,3,74,50,220,39,0.01,0,0,240,29,RA,623,1739
72528014733,2018-10-12T23:59:00,SOD  ,WFO BUF,36,47,66,29.82,29.05,42,12.5,0,-5.4,18,51,42,280,27,0.01,0,0,260,21,RA,625,1738
72528014733,2018-10-13T23:59:00,SOD  ,WFO BUF,36,46,74,29.95,29.15,41,8.4,0,-6.1,19,51,40,250,24,0.14,0,0,240,18,RA BR,626,1736
72528014733,2018-10-14T23:59:00,SOD  ,WFO BUF,39,51,69,30.12,29.34,45,6.5,0,-0.7,14,60,41,250,17,0,0,0,250,14,,627,1734
72528014733,2018-10-15T23:59:00,SOD  ,WFO BUF,43,49,79,29.94,29.16,47,12.8,0,-2.4,16,58,40,220,37,0.09,0,0,290,28,RA BR,628,1733
72528014733,2018-10-16T23:59:00,SOD  ,WFO BUF,32,45,61,30.06,29.31,39,15.8,0,-6,20,52,38,210,40,T,0,0,220,30,RA,629,1731
72528014733,2018-10-17T23:59:00,SOD  ,WFO BUF,34,45,66,30.02,29.21,40,15.3,0,-5.7,20,53,36,290,36,0.05,0,T,290,28,GR RA SN,631,1729
72528014733,2018-10-18T23:59:00,SOD  ,WFO BUF,30,40,68,30.37,29.59,36,11.2,0,-10.4,25,47,33,250,28,0.03,0,T,240,21,RA SN HZ,632,1728
72528014733,2018-10-19T23:59:00,SOD  ,WFO BUF,38,50,63,30,29.28,45,18,0,0,15,57,43,210,48,T,0,0,240,35,RA,633,1726
72528014733,2018-10-20T23:59:00,SOD  ,WFO BUF,42,48,86,29.68,28.9,45,12.3,0,-1.7,17,55,40,220,49,0.47,0,0.1,240,36,TS GR RA BR PL,634,1725
72528014733,2018-10-21T23:59:00,SOD  ,WFO BUF,27,38,64,30.12,29.31,34,11.6,0,-11.4,27,42,34,330,34,T,0,T,320,26,SN,635,1723
72528014733,2018-10-22T23:59:00,SOD  ,WFO BUF,35,44,73,30.08,29.31,40,9,0,-5.1,21,51,37,220,29,T,0,T,230,22,RA,637,1722
72528014733,2018-10-23T23:59:00,SOD  ,WFO BUF,37,44,78,30.02,29.23,40,10.4,0,-4.8,21,51,37,310,30,0.05,0,T,310,23,GR RA,638,1720
72528014733,2018-10-24T23:59:00,SOD  ,WFO BUF,31,39,73,30.27,29.47,36,10.3,0,-9.5,26,41,37,310,24,0,0,0,320,17,,639,1719
72528014733,2018-10-25T23:59:00,SOD  ,WFO BUF,29,41,68,30.21,29.44,35,6,0,-7.1,24,44,37,310,17,0,0,0,310,13,,640,1717
72528014733,2018-10-26T23:59:00,SOD  ,WFO BUF,32,42,70,30.01,29.26,38,10.6,0,-5.8,23,48,35,60,24,T,0,0,60,17,RA,642,1716
72528014733,2018-10-27T23:59:00,SOD  ,WFO BUF,37,39,95,29.81,29.06,38,13.9,0,-8.5,26,41,37,70,27,0.51,0,0,60,22,RA BR,643,1714
72528014733,2018-10-28T23:59:00,SOD  ,WFO BUF,38,39,96,29.71,28.95,39,5.3,0,-8.2,26,42,36,240,16,0.17,0,0,260,14,RA DZ BR,644,1713
72528014733,2018-10-29T23:59:00,SOD  ,WFO BUF,36,42,80,29.85,29.04,39,11.1,0,-4.9,23,46,38,250,30,0.1,0,0,260,22,RA BR,645,1711
72528014733,2018-10-30T23:59:00,SOD  ,WFO BUF,35,41,78,30.09,29.31,39,7.9,0,-5.6,24,50,32,240,21,0.02,0,0,230,17,RA,647,1710
72528014733,2018-10-31T23:59:00,SOD  ,WFO BUF,49,51,89,29.84,29.08,51,10,0,4.7,14,58,44,210,32,0.28,0,0,240,21,RA BR,648,1709
72528014733,2018-11-01T23:59:00,SOD  ,WFO BUF,43,45,95,29.82,29.08,44,8.8,0,-1,20,47,43,50,30,1.46,0,0,50,25,RA BR,649,1707
72528014733,2018-11-02T23:59:00,SOD  ,WFO BUF,42,43,96,29.65,28.87,43,7.5,0,-2.7,22,46,40,60,23,0.15,0,0,50,20,RA DZ FG BR,650,1706
72528014733,2018-11-03T23:59:00,SOD  ,WFO BUF,35,40,80,30,29.16,38,11.2,0,-5.4,25,43,37,260,28,0.13,0,0,270,22,RA BR,652,1705
72528014733,2018-11-04T23:59:00,SOD  ,WFO BUF,33,40,72,30.4,29.62,38,7.7,0,-5.1,25,49,30,100,19,0,0,0,90,16,,653,1704
72528014733,2018-11-05T23:59:00,SOD  ,WFO BUF,43,51,74,30.08,29.34,47,11.5,0,6.2,14,58,44,210,30,0.02,0,0,210,23,RA,654,1702
72528014733,2018-11-06T23:59:00,SOD  ,WFO BUF,45,56,77,29.68,28.95,49,21.2,0,11.5,9,62,49,240,55,0.29,0,0,240,40,RA,655,1701
72528014733,2018-11-07T23:59:00,SOD  ,WFO BUF,35,45,69,29.96,29.15,41,18.4,0,0.9,20,50,39,240,46,0.03,0,0,240,36,RA,657,1700
72528014733,2018-11-08T23:59:00,SOD  ,WFO BUF,28,41,62,30.29,29.49,35,10.6,0,-2.8,24,45,36,270,27,0,0,0,270,21,,658,1659
72528014733,2018-11-09T23:59:00,SOD  ,WFO BUF,32,37,89,30.04,29.31,35,8.4,0,-6.5,28,42,32,220,31,0.57,0,0.6,210,24,RA SN FG BR,659,1658
72528014733,2018-11-10T23:59:00,SOD  ,WFO BUF,21,32,64,30.07,29.24,28,17.9,0,-11.2,33,37,27,280,43,T,0,T,260,33,,701,1657
72528014733,2018-11-11T23:59:00,SOD  ,WFO BUF,28,33,81,30.32,29.53,31,5.8,0,-9.8,32,36,30,310,18,0.01,0,T,310,14,SN BR,702,1656
72528014733,2018-11-12T23:59:00,SOD  ,WFO BUF,27,38,65,30.28,29.51,33,4.9,0,-4.5,27,43,32,200,14,0,0,0,210,13,,703,1655
72528014733,2018-11-13T23:59:00,SOD  ,WFO BUF,29,33,83,30.15,29.35,32,8.1,0,-9.1,32,38,28,300,29,0.02,0,0.2,280,22,RA SN BR,704,1654
72528014733,2018-11-14T23:59:00,SOD  ,WFO BUF,17,30,63,30.48,29.66,25,10.3,0,-11.8,35,34,25,280,31,T,T,T,280,22,SN,706,1653
72528014733,2018-11-15T23:59:00,SOD  ,WFO BUF,23,29,79,30.24,29.52,27,8.8,0,-12.4,36,33,25,70,19,0.55,0,1.4,150,15,FZRA SN PL BR,707,1652
72528014733,2018-11-16T23:59:00,SOD  ,WFO BUF,31,34,90,29.81,29.03,32,12.1,0,-7.1,31,37,30,260,30,0.33,2,1.4,270,23,RA SN BR,708,1651
72528014733,2018-11-17T23:59:00,SOD  ,WFO BUF,27,34,73,30.19,29.36,32,11.4,0,-6.7,31,37,31,260,28,T,1,T,280,22,SN,709,1650
72528014733,2018-11-18T23:59:00,SOD  ,WFO BUF,28,34,84,30.25,29.49,31,3.8,0,-6.3,31,36,31,280,17,0.06,T,0.1,280,13,RA DZ SN BR,711,1649
72528014733,2018-11-19T23:59:00,SOD  ,WFO BUF,27,35,72,30.07,29.31,32,4.1,0,-5,30,40,30,200,14,T,0,0,190,12,RA,712,1648
72528014733,2018-11-20T23:59:00,SOD  ,WFO BUF,25,30,80,30.01,29.21,29,8.1,0,-9.6,35,33,27,280,32,0.1,T,0.7,280,22,SN BR,713,1648
72528014733,2018-11-21T23:59:00,SOD  ,WFO BUF,17,24,68,30.14,29.31,24,17,0,-15.2,41,33,15,290,36,0.1,1,1,320,26,SN BR,714,1647
72528014733,2018-11-22T23:59:00,SOD  ,WFO BUF,5,15,65,30.57,29.73,12,6.8,0,-23.8,50,20,9,360,24,0,1,T,340,18,,716,1646
72528014733,2018-11-23T23:59:00,SOD  ,WFO BUF,11,24,52,30.31,29.55,22,8.2,0,-14.5,41,38,9,150,17,0,1,0,140,13,,717,1645
