post_code,seq_key,fips,pub_seq,lib_code,name,addr,city,zip,zip4,phone,service_pop,num_main,num_branch,num_bookmobile,num_other,fte_lib_ms,fte_lib,fte_other,fte_tot,inc_local,inc_state,inc_fed,inc_other,inc_total,opx_sal,opx_ben,opx_tot_st,opx_tot_cl,opx_oth,opx_total,cap_outlay,col_books,col_audio,col_film,col_video,col_c_serial,pshours,attendance,reference_trans,circulation,ill_out,ill_in
AL,0001,01,0001,100-000,Carl Elliott Regional,20 East 18th Street,Jasper,35501,,2052212568,62030,1,0,0,0,-1,-1,-1,5.3,63873,101244,5090,23705,193912,82305,0,82305,44683,63981,190969,0,65671,466,0,0,122,2250,NA,5636,152556,37,NA
AL,0002,01,0002,100-001,Arley Public Library,City Hall,Arley,35541,,2053870103,320,1,0,0,0,-1,-1,-1,0.5,5787,0,0,42,5829,3700,100,3800,NA,808,4608,1099,5975,59,0,1,8,1000,NA,145,6251,0,6
AL,0003,01,0003,100-002,Cordova,130 Main Street,Cordova,35550,,2054839578,2560,1,0,0,0,-1,-1,-1,0.4,8572,0,0,72,8644,3162,242,3404,NA,5171,8575,NA,4521,59,0,1,8,800,NA,212,13831,0,9
AL,0004,01,0004,100-003,Dora,P. O. Box K,Dora,35062,,2056483211,2360,1,0,0,0,-1,-1,-1,1,16185,0,0,32,16217,13000,2048,15048,NA,1137,16185,0,3273,59,0,1,8,2125,NA,72,2915,0,24
AL,0005,01,0005,100-004,Double Springs,P. O. Box 555,Double Springs,35501,,2054892412,1150,1,0,0,0,-1,-1,-1,1.5,13932,0,0,242,14174,10200,0,10200,NA,3732,13932,0,8356,61,0,29,6,1900,NA,2791,10046,3,36
AL,0006,01,0006,100-005,Haleyville,913 20th Street,Haleyville,35565,,2054867450,4940,1,0,0,0,-1,-1,-1,1.5,22809,0,0,0,22809,10631,0,10631,259,10978,21868,1200,5044,59,0,35,12,2500,NA,151,12041,0,132
AL,0007,01,0007,100-006,Jasper,20 East 18th Street,Jasper,35501,,2052218512,12580,1,0,0,0,-1,-1,-1,3,96164,0,0,10093,106257,52122,13381,65503,14493,105004,185000,1253,28056,417,99,298,64,2550,NA,2122,84707,9,507
AL,0008,01,0008,100-007,Lynn,City Hall,Lynn,35575,,2058935250,550,1,0,0,0,-1,-1,-1,0.5,1613,0,0,34,1647,NA,NA,NA,0,1613,1613,0,2994,59,0,1,8,1000,NA,54,2729,0,11
AL,0009,01,0009,100-008,Sumiton,Sumiton Town Hall,Sumiton,35148,,2056483261,2990,1,0,0,0,-1,-1,-1,1,14424,0,0,135,14559,9650,1689,11339,NA,14424,25763,0,7452,59,0,1,8,1825,NA,NA,10124,1,25
AL,0010,01,0010,101-000,Cheaha Regional,111 West Coleman Street,Heflin,36264,,2054637125,69560,1,0,2,0,-1,-1,-1,4,17800,115520,9794,4459,147573,77251,15845,93096,31589,146383,271068,0,42124,105,0,43,8,2375,NA,662,93591,592,1425
AL,0011,01,0011,101-001,Annie L. Awbrey,263 College Street,Roanoke,36274,,2058632632,5820,1,0,0,0,-1,-1,-1,2.6,51801,4938,1668,3588,61995,31879,5323,37202,10962,58069,106233,0,21311,236,74,428,34,2050,NA,175,17362,1,146
AL,0012,01,0012,101-002,Ashland City,"113 North 2nd Avenue, W",Ashland,36251,,2053543427,1730,1,0,0,0,-1,-1,-1,1.5,12613,1923,1782,4662,20980,8763,0,8763,4206,17588,30557,0,11519,NA,0,0,0,2000,NA,382,9567,0,334
AL,0013,01,0013,101-003,B. B. Comer Memorial,314 North Broadway,Sylacauga,35150,,2052490961,12580,1,0,0,0,-1,-1,-1,9.5,263575,9461,0,36108,309144,143390,31027,174417,45450,292850,512717,0,62348,1176,545,100,172,2850,NA,7780,113178,0,164
AL,0014,01,0014,101-004,Cherokee County,P. O. Box 333,Centre,35960,,2059275838,20000,1,0,0,0,-1,-1,-1,2.5,40056,3750,891,1145,45842,17293,5279,22572,6915,36222,65709,0,21771,851,195,16,33,2000,NA,1199,25825,0,41
AL,0015,01,0015,101-005,Earle A. Rainwater Memorial,"112 9th Avenue, SW",Childersburg,35044,,2053787239,5030,1,0,0,0,-1,-1,-1,2,34035,3504,0,5787,43326,21761,3413,25174,6415,10949,42538,NA,20905,50,50,0,42,2000,NA,1171,28643,NA,77
AL,0016,01,0016,101-006,Lincoln,33 Complex Drive,Lincoln,35096,,2057637244,2830,1,0,0,0,-1,-1,-1,1,17250,1491,0,87,18828,8796,1060,9856,1455,6707,18018,NA,6646,NA,0,4,12,2000,NA,500,6646,NA,NA
AL,0017,01,0017,101-007,Lineville,P. O. Box 482,Lineville,36266,,2053965162,2160,1,0,0,0,-1,-1,-1,2,22024,1565,8911,3441,35941,13256,2144,15400,10588,7592,33580,0,11816,39,0,0,7,1750,NA,817,8711,0,87
AL,0018,01,0018,101-008,Lucile L. Morgan,102 Ross Street,Heflin,36264,,2054632259,2820,1,0,0,1,-1,-1,-1,1,6825,1932,0,2121,10878,2702,0,2702,1231,4592,8525,0,18419,308,12,1,39,800,NA,364,8839,1,20
AL,0019,01,0019,101-009,Oxford,213 Choccolocco Street,Oxford,36203,,2058311750,11030,1,0,0,0,-1,-1,-1,4,75733,9750,0,3298,88781,48582,0,48582,6554,31810,86946,NA,20745,623,65,91,19,2325,NA,780,49002,2,98
AL,0020,01,0020,101-010,Talladega,"202 South Street, E",Talladega,35160,,2053624211,19180,1,0,0,0,-1,-1,-1,6,166319,13718,0,18208,198245,77084,12677,89761,48518,37475,175754,5033,68127,1197,308,0,93,2650,NA,29762,121905,56,250
AL,0021,01,0021,102-000,Choctawhatchee Regional,320 James Street,Ozark,36360,,2057743112,60180,1,0,0,5,-1,-1,-1,5.4,96060,93126,19656,11612,220454,130491,21017,151508,63047,39967,254522,NA,11458,192,985,178,19,2000,NA,77,10013,369,759
